7.990000000000000000e+06	1.400000000000000000e+01
1.440500000000000000e+07	1.400000000000000000e+01
1.441000000000000000e+07	1.400000000000000000e+01
1.441500000000000000e+07	1.400000000000000000e+01
1.442000000000000000e+07	1.400000000000000000e+01
1.442500000000000000e+07	1.400000000000000000e+01
1.443500000000000000e+07	1.400000000000000000e+01
1.445000000000000000e+07	1.400000000000000000e+01
1.445500000000000000e+07	1.400000000000000000e+01
1.446000000000000000e+07	1.400000000000000000e+01
1.446500000000000000e+07	1.400000000000000000e+01
1.447000000000000000e+07	1.400000000000000000e+01
1.447500000000000000e+07	1.400000000000000000e+01
1.448000000000000000e+07	1.400000000000000000e+01
1.448500000000000000e+07	1.400000000000000000e+01
1.449000000000000000e+07	1.400000000000000000e+01
1.449500000000000000e+07	1.400000000000000000e+01
1.450000000000000000e+07	1.400000000000000000e+01
1.450500000000000000e+07	1.400000000000000000e+01
1.451000000000000000e+07	1.400000000000000000e+01
1.451500000000000000e+07	1.400000000000000000e+01
1.452000000000000000e+07	1.400000000000000000e+01
1.452500000000000000e+07	1.400000000000000000e+01
1.453000000000000000e+07	1.400000000000000000e+01
1.453500000000000000e+07	1.400000000000000000e+01
1.454000000000000000e+07	1.400000000000000000e+01
1.454500000000000000e+07	1.400000000000000000e+01
1.455000000000000000e+07	1.400000000000000000e+01
1.455500000000000000e+07	1.400000000000000000e+01
1.456000000000000000e+07	1.400000000000000000e+01
1.456500000000000000e+07	1.400000000000000000e+01
1.457000000000000000e+07	1.400000000000000000e+01
1.457500000000000000e+07	1.400000000000000000e+01
1.458000000000000000e+07	1.400000000000000000e+01
1.458500000000000000e+07	1.400000000000000000e+01
1.459000000000000000e+07	1.400000000000000000e+01
1.459500000000000000e+07	1.400000000000000000e+01
1.460000000000000000e+07	1.400000000000000000e+01
1.460500000000000000e+07	1.400000000000000000e+01
1.461000000000000000e+07	1.400000000000000000e+01
1.461500000000000000e+07	1.400000000000000000e+01
1.462000000000000000e+07	1.400000000000000000e+01
1.462500000000000000e+07	1.400000000000000000e+01
1.463000000000000000e+07	1.400000000000000000e+01
1.463500000000000000e+07	1.400000000000000000e+01
1.464000000000000000e+07	1.400000000000000000e+01
1.464500000000000000e+07	1.400000000000000000e+01
1.465000000000000000e+07	1.400000000000000000e+01
1.465500000000000000e+07	1.400000000000000000e+01
1.466000000000000000e+07	1.400000000000000000e+01
1.466500000000000000e+07	1.400000000000000000e+01
1.467000000000000000e+07	1.400000000000000000e+01
1.467500000000000000e+07	1.400000000000000000e+01
1.468000000000000000e+07	1.400000000000000000e+01
1.468500000000000000e+07	1.400000000000000000e+01
1.469000000000000000e+07	1.400000000000000000e+01
1.469500000000000000e+07	1.400000000000000000e+01
1.470000000000000000e+07	1.400000000000000000e+01
1.470500000000000000e+07	1.400000000000000000e+01
1.471000000000000000e+07	1.400000000000000000e+01
1.471500000000000000e+07	1.400000000000000000e+01
1.472000000000000000e+07	1.400000000000000000e+01
1.472500000000000000e+07	1.400000000000000000e+01
1.473000000000000000e+07	1.400000000000000000e+01
1.473500000000000000e+07	1.400000000000000000e+01
1.474000000000000000e+07	1.400000000000000000e+01
1.474500000000000000e+07	1.400000000000000000e+01
1.475000000000000000e+07	1.400000000000000000e+01
1.475500000000000000e+07	1.400000000000000000e+01
1.476000000000000000e+07	1.400000000000000000e+01
1.476500000000000000e+07	1.400000000000000000e+01
1.477000000000000000e+07	1.400000000000000000e+01
1.477500000000000000e+07	1.400000000000000000e+01
1.478000000000000000e+07	1.400000000000000000e+01
1.478500000000000000e+07	1.400000000000000000e+01
1.479000000000000000e+07	1.400000000000000000e+01
1.479500000000000000e+07	1.400000000000000000e+01
1.480000000000000000e+07	1.400000000000000000e+01
1.480500000000000000e+07	1.400000000000000000e+01
1.481000000000000000e+07	1.400000000000000000e+01
1.481500000000000000e+07	1.400000000000000000e+01
1.482000000000000000e+07	1.400000000000000000e+01
1.482500000000000000e+07	1.400000000000000000e+01
1.483000000000000000e+07	1.400000000000000000e+01
1.483500000000000000e+07	1.400000000000000000e+01
1.484000000000000000e+07	1.400000000000000000e+01
